City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Leua,SK,80.49,overcast clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
277,Puerto Escondido,MX,86.05,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
282,Bardiyah,LY,82.42,clear sky,31.7561,25.0865,بورتو بردية
284,Martil,MA,82.38,clear sky,35.6166,-5.2752,فندق مرتيل
289,Iquitos,PE,89.92,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
291,Finschhafen,PG,76.66,broken clouds,-6.6024,147.8681,Cossam Guest House
292,Jiaocheng,CN,78.96,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
293,Faya,SA,75.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
294,Oka,CA,80.89,scattered clouds,45.4649,-74.0889,Parc national d'Oka
307,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
309,Kudahuvadhoo,MV,83.84,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
310,Fairview,US,82.99,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
311,Meadow Lake,US,88.39,clear sky,34.8014,-106.5436,TumbleWeed RV Park
312,Broome,US,84.69,scattered clouds,42.2506,-75.833,Chenango Valley State Park
313,Bondoukou,CI,80.28,light rain,8.0333,-2.8,Prestige Hotel
314,Nichinan,JP,78.4,overcast clouds,31.6,131.3667,Guest House Aki
322,Bongouanou,CI,83.34,broken clouds,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
323,Asau,RO,77.92,few clouds,46.4333,26.4,Casa Mika Ciobanus
325,Nueva Italia,PY,87.03,scattered clouds,-25.6167,-57.5,Quinta Che Jazmín
333,Acajutla,SV,85.8,overcast clouds,13.5928,-89.8275,asi es
334,Sanandaj,IR,84.2,broken clouds,35.3144,46.9923,Sanandaj Tourist Hotel
336,Sao Pedro Do Sul,BR,81.61,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
338,Isla,PH,79.38,overcast clouds,15.8939,120.3036,Green Apple Inn
339,Damietta,EG,82.42,clear sky,31.4165,31.8133,SULIMAN INN
342,Topeka,US,84.29,broken clouds,39.0483,-95.678,Hotel Topeka At City Center
344,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
346,Tura,IN,75.58,light rain,25.5198,90.2201,Hotel RIKMAN Continental
348,Tarifa,ES,82.35,clear sky,36.0139,-5.607,HOSPEDAJE FACUNDO
349,Malatya,TR,77.05,broken clouds,38.5,38.0,
350,Birjand,IR,79.36,clear sky,32.8663,59.2211,Birjand Tourist Hotel
355,Gigmoto,PH,81.25,overcast clouds,13.7796,124.39,Cj's Travellers Inn
356,Liling,CN,82.87,overcast clouds,27.6667,113.5,Shangri-La Hotel
