City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Karasjok,NO,69.4719,25.5112,71.71,52,9,15.5,clear sky
261,Pakhtakoron,TJ,40.1571,68.7466,83.34,17,0,2.33,clear sky
262,Boca Do Acre,BR,-8.7522,-67.3978,100.92,21,14,1.81,few clouds
263,Safaga,EG,26.7292,33.9365,89.78,55,0,0.87,clear sky
264,Gwadar,PK,25.1216,62.3254,80.53,84,13,7.87,few clouds
265,College,US,64.8569,-147.8028,58.98,85,75,6.91,broken clouds
266,Camacha,PT,33.0833,-16.3333,72.82,60,40,12.66,scattered clouds
267,Valparaiso,CL,-33.0393,-71.6273,55.89,69,99,9.15,overcast clouds
268,Nikolskoye,RU,59.7035,30.7861,71.49,89,99,3.22,overcast clouds
269,Katsuura,JP,35.1333,140.3,84.31,91,100,18.99,overcast clouds
270,Indiana,US,40.0003,-86.2503,85.95,63,1,9.22,clear sky
271,Miraflores,MX,19.2167,-98.8083,63.86,73,70,1.21,broken clouds
272,Poltavka,RU,54.3663,71.7632,61.47,95,100,11.72,light rain
273,Hamilton,US,39.1834,-84.5333,88.88,62,62,1.99,broken clouds
274,Neiafu,TO,-18.65,-173.9833,65.08,94,75,0.0,broken clouds
275,Leua,SK,48.2156,18.6071,80.49,65,99,3.8,overcast clouds
276,Borogontsy,RU,62.6683,131.1683,52.83,51,4,5.75,clear sky
277,Puerto Escondido,MX,15.85,-97.0667,86.05,63,31,4.94,scattered clouds
278,Mount Gambier,AU,-37.8333,140.7667,44.31,81,52,7.23,broken clouds
279,Ambilobe,MG,-13.2,49.05,71.06,84,78,2.98,light rain
280,Yaan,NG,7.3833,8.5667,74.61,86,100,9.06,light rain
281,Thompson,CA,55.7435,-97.8558,64.56,94,90,3.44,mist
282,Bardiyah,LY,31.7561,25.0865,82.42,56,0,6.38,clear sky
283,Vizinga,RU,61.0749,50.1031,59.79,59,97,1.5,overcast clouds
284,Martil,MA,35.6166,-5.2752,82.38,38,0,7.14,clear sky
285,Nuuk,GL,64.1835,-51.7216,45.21,81,90,10.36,light snow
286,Jiuquan,CN,39.7432,98.5174,72.99,22,2,2.91,clear sky
287,Ballina,AU,-28.8667,153.5667,60.76,67,90,12.66,overcast clouds
288,Oktyabrskoye,RU,43.0645,44.7417,69.94,88,75,4.47,broken clouds
289,Iquitos,PE,-3.7481,-73.2472,89.92,47,73,1.77,broken clouds
290,Fairbanks,US,64.8378,-147.7164,58.6,88,90,4.61,overcast clouds
291,Finschhafen,PG,-6.6024,147.8681,76.66,84,58,7.74,broken clouds
292,Jiaocheng,CN,24.6774,116.1389,78.96,96,96,1.14,overcast clouds
293,Faya,SA,18.3851,42.4509,75.31,67,79,6.8,broken clouds
294,Oka,CA,45.4649,-74.0889,80.89,55,28,5.01,scattered clouds
295,Huadian,CN,42.9633,126.7478,63.73,78,0,3.85,clear sky
296,Tanout,NE,14.9709,8.8879,93.22,37,85,11.03,overcast clouds
297,Berbera,SO,10.4396,45.0143,93.34,47,5,3.71,clear sky
298,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,91,75,5.75,broken clouds
299,Margate,GB,51.3813,1.3862,68.92,65,98,4.0,overcast clouds
300,Viedma,AR,-40.8135,-62.9967,55.6,33,59,13.47,broken clouds
301,Aykhal,RU,66.0,111.5,50.07,85,42,3.15,scattered clouds
302,Namibe,AO,-15.1961,12.1522,67.05,78,65,12.19,broken clouds
303,Biloela,AU,-24.4167,150.5,50.77,87,0,6.31,clear sky
304,Amontada,BR,-3.3617,-39.8317,96.4,29,13,10.8,few clouds
305,Ola,RU,59.5833,151.2833,52.63,81,71,2.28,broken clouds
